game_id,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,phase1_turns,phase1_end_player,phase2_turns,phase2_end_player
1,1,3,4,8,7,14,G,4,F,6,G
2,1,2,4,8,8,14,G,9,G,9,F
3,1,1,5,5,5,11,G,3,G,9,F
4,2,3,6,9,11,15,G,9,G,9,F
5,5,2,9,4,14,8,F,9,G,9,F
6,5,1,9,3,12,6,F,9,G,4,F
7,1,1,3,3,8,9,G,9,G,4,F
8,2,2,5,5,9,12,G,2,F,6,G
9,2,4,6,11,11,16,G,8,F,9,G
10,3,3,8,6,11,9,F,9,G,9,F
11,2,1,5,2,12,4,F,4,F,4,G
12,3,1,8,7,14,13,F,8,F,9,G
13,4,1,9,5,14,11,F,9,G,9,F
14,3,1,5,4,8,10,G,9,G,4,F
15,3,1,7,4,12,10,F,2,F,6,G
16,5,3,9,7,13,13,draw,9,G,9,F
17,2,4,7,9,10,13,G,7,G,9,F
18,3,3,8,7,13,11,F,7,G,9,F
19,3,2,6,5,9,9,draw,9,G,4,F
20,3,2,7,6,11,12,G,9,G,6,F
21,3,3,6,6,12,11,F,7,G,2,F
22,4,5,9,7,15,9,F,9,G,9,F
23,1,3,5,6,12,9,F,2,F,9,G
24,2,2,8,8,11,15,G,5,G,8,F
25,5,4,7,7,12,11,F,9,G,4,F
26,3,2,6,6,12,8,F,6,F,9,G
27,2,2,7,6,15,10,F,3,G,9,F
28,3,3,5,5,8,10,G,9,G,9,F
29,3,2,9,6,15,13,F,9,G,9,F
30,6,3,11,7,16,13,F,9,G,6,F
31,3,1,8,6,13,9,F,3,G,9,F
32,1,1,6,6,10,9,F,3,G,9,F
33,5,1,11,2,17,7,F,9,G,4,F
34,3,1,5,4,7,9,G,9,G,9,F
35,5,1,10,5,14,9,F,9,G,4,F
36,1,0,2,0,7,6,F,6,F,4,G
37,1,2,5,6,11,12,G,9,G,6,F
38,4,1,9,3,14,5,F,9,G,9,F
39,3,0,9,1,15,6,F,9,G,9,F
40,1,1,5,3,10,8,F,9,G,4,F
41,2,1,9,6,14,13,F,9,G,9,F
42,1,2,4,7,8,13,G,6,F,8,G
43,5,3,10,7,14,12,F,9,G,6,F
44,2,2,7,8,12,17,G,9,G,9,F
45,0,1,2,6,6,11,G,2,F,8,G
46,2,1,6,3,12,5,F,6,F,9,G
47,2,1,7,3,13,7,F,9,G,8,F
48,3,4,8,10,14,17,G,4,F,8,G
49,3,2,9,8,16,16,draw,7,G,6,F
50,2,2,5,5,10,11,G,9,G,2,F
51,1,1,6,6,13,14,G,3,G,8,F
52,1,0,8,3,15,9,F,6,F,9,G
53,0,1,4,6,11,11,draw,2,F,9,G
54,2,2,5,7,11,12,G,5,G,9,F
55,2,1,9,5,15,11,F,2,F,9,G
56,1,1,6,6,10,11,G,3,G,9,F
57,2,1,6,3,13,7,F,2,F,2,G
58,2,1,7,7,14,14,draw,4,F,9,G
59,4,2,10,2,16,4,F,9,G,9,F
60,4,3,10,7,15,12,F,9,G,9,F
61,2,2,5,5,9,8,F,9,G,2,F
62,1,2,3,5,7,7,draw,2,F,4,G
63,2,5,4,8,6,12,G,9,G,9,F
64,2,1,4,4,9,8,F,5,G,8,F
65,3,4,6,7,11,11,draw,9,G,4,F
66,3,3,6,6,11,13,G,9,G,9,F
67,1,2,7,5,16,11,F,3,G,9,F
68,5,4,12,10,18,18,draw,9,G,9,F
69,2,4,6,9,10,15,G,9,G,9,F
70,2,0,6,6,11,11,draw,9,G,9,F
71,1,1,8,3,13,4,F,3,G,9,F
72,2,1,6,5,13,12,F,2,F,9,G
73,1,1,4,4,8,8,draw,9,G,9,F
74,3,2,8,4,13,9,F,7,G,9,F
75,3,2,8,6,13,13,draw,5,G,9,F
76,2,4,10,9,16,15,F,9,G,9,F
77,4,2,8,5,12,12,draw,9,G,2,F
78,3,1,7,3,13,7,F,9,G,4,F
79,4,5,8,10,15,16,G,9,G,2,F
80,3,4,5,7,8,11,G,9,G,9,F
81,3,2,6,5,10,10,draw,9,G,2,F
82,1,2,2,4,4,10,G,3,G,4,F
83,3,2,9,6,15,12,F,9,G,9,F
84,2,4,8,8,14,13,F,6,F,8,G
85,2,4,6,9,10,13,G,8,F,8,G
86,3,2,8,6,14,10,F,7,G,9,F
87,2,3,7,5,14,8,F,5,G,9,F
88,4,1,8,4,12,9,F,9,G,9,F
89,2,3,6,6,13,13,draw,5,G,9,F
90,3,3,7,7,14,12,F,8,F,9,G
91,6,3,13,6,20,10,F,9,G,9,F
92,5,5,12,11,19,20,G,9,G,2,F
93,4,2,10,6,15,10,F,7,G,9,F
94,3,3,8,7,13,11,F,9,G,6,F
95,1,1,5,7,9,13,G,4,F,9,G
96,3,1,6,4,12,8,F,5,G,6,F
97,3,1,7,3,12,7,F,6,F,2,G
98,2,2,6,3,12,5,F,9,G,9,F
99,1,4,6,10,13,16,G,4,F,9,G
100,1,3,3,8,5,15,G,9,G,9,F
101,3,2,6,6,11,14,G,6,F,2,G
102,1,2,4,5,9,8,F,9,G,4,F
103,1,2,3,6,11,11,draw,4,F,6,G
104,3,2,7,6,13,13,draw,4,F,4,G
105,2,2,6,9,10,15,G,9,G,9,F
106,5,6,10,12,14,20,G,9,G,9,F
107,2,3,6,9,13,16,G,4,F,9,G
108,4,1,9,4,13,11,F,3,G,2,F
109,2,0,5,2,8,6,F,9,G,9,F
110,2,4,5,8,9,13,G,8,F,9,G
111,4,2,9,7,14,14,draw,9,G,8,F
112,0,0,1,2,5,8,G,2,F,2,G
113,1,3,4,8,10,13,G,4,F,8,G
114,4,3,10,7,14,12,F,9,G,9,F
115,3,3,7,6,12,12,draw,5,G,9,F
116,2,3,6,7,12,12,draw,6,F,4,G
117,2,2,5,6,12,14,G,9,G,4,F
118,3,3,7,7,11,14,G,9,G,2,F
119,3,2,7,4,10,9,F,9,G,9,F
120,4,1,12,5,20,10,F,5,G,9,F
121,4,2,9,6,15,13,F,9,G,9,F
122,6,5,11,8,14,11,F,8,F,9,G
123,4,1,9,5,15,10,F,9,G,9,F
124,4,4,8,9,11,14,G,9,G,9,F
125,2,1,6,4,11,7,F,3,G,9,F
126,2,3,7,7,12,11,F,9,G,9,F
127,0,0,2,2,7,5,F,2,F,6,G
128,1,3,5,8,11,14,G,9,G,9,F
129,4,5,9,12,14,18,G,9,G,8,F
130,0,1,1,4,3,10,G,2,F,9,G
131,6,3,11,7,16,10,F,8,F,9,G
132,4,2,8,6,16,12,F,6,F,9,G
133,2,3,8,7,12,12,draw,9,G,9,F
134,2,3,5,9,10,14,G,7,G,9,F
135,4,5,8,9,15,13,F,7,G,9,F
136,3,3,5,7,7,12,G,9,G,4,F
137,3,3,8,5,13,10,F,9,G,9,F
138,4,1,9,2,14,6,F,9,G,9,F
139,2,2,6,8,12,13,G,4,F,9,G
140,0,1,3,7,9,12,G,2,F,6,G
141,1,0,6,3,13,8,F,3,G,9,F
142,2,2,5,5,10,8,F,8,F,9,G
143,3,2,9,7,14,11,F,9,G,8,F
144,2,5,6,9,11,14,G,9,G,9,F
145,2,1,7,7,12,12,draw,4,F,8,G
146,2,2,7,6,12,11,F,3,G,6,F
147,3,4,8,9,15,14,F,9,G,8,F
148,1,2,3,6,7,12,G,9,G,9,F
149,4,2,8,4,15,10,F,6,F,4,G
150,3,1,7,5,11,11,draw,7,G,8,F
151,0,1,0,3,7,8,G,2,F,2,G
152,5,5,10,9,14,11,F,9,G,9,F
