game_id,phase_end_rule,F_ai,G_ai,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,turns,phase1_turns,phase1_end_player,phase1_end_reason,phase1_empty_cells_at_end,phase2_turns,phase2_end_player,phase2_end_reason,phase2_empty_cells_at_end
1,by_player,monte_carlo,random,6,2,12,4,21,9,F,21,9,G,board_full,0,0,F,by_player,9
2,by_player,monte_carlo,random,5,2,13,4,22,8,F,29,9,G,board_full,0,9,F,board_full,0
3,by_player,monte_carlo,random,6,4,14,7,23,11,F,27,9,G,board_full,0,8,F,by_player,1
4,by_player,monte_carlo,random,3,4,12,8,22,13,F,29,9,G,board_full,0,9,F,board_full,0
5,by_player,monte_carlo,random,3,1,10,2,17,3,F,29,9,G,board_full,0,9,F,board_full,0
6,by_player,monte_carlo,random,4,3,11,6,19,9,F,29,9,G,board_full,0,9,F,board_full,0
7,by_player,monte_carlo,random,5,2,10,4,19,11,F,21,9,G,board_full,0,0,F,by_player,9
8,by_player,monte_carlo,random,4,2,12,5,19,8,F,29,9,G,board_full,0,9,F,board_full,0
9,by_player,monte_carlo,random,6,3,15,5,24,6,F,29,9,G,board_full,0,9,F,board_full,0
10,by_player,monte_carlo,random,5,2,13,2,21,5,F,29,9,G,board_full,0,9,F,board_full,0
