game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
1,1,F,1,9,649,put,2,2,Y,X,,monte_carlo,24,0.9,3.5,0.9,0.85,0.050000000000000044,1,649,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=7,direction1=Y,direction2=X",
1,2,G,1,8,577,put,0,1,Y,Z,,random,,,,,,,2,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=4,direction1=Y,direction2=Z",
1,3,F,1,7,463,put,0,0,Y,Z,,monte_carlo,24,0.85,3.1,0.85,0.8,0.04999999999999993,3,463,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=6,direction1=Y,direction2=Z",
1,4,G,1,6,397,put,0,2,Y,Z,,random,,,,,,,4,397,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=6,direction1=Y,direction2=Z",
1,5,F,1,5,301,put,1,0,Z,X,,monte_carlo,24,1.0,4.7,1.0,1.0,0.0,5,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=9,direction1=Z,direction2=X",
1,6,G,1,4,241,put,2,1,X,Z,,random,,,,,,,6,241,1.0,0.75,0.0,0.25,1.0,"put,x=2,y=1,piece_index=3,direction1=X,direction2=Z",
1,7,F,1,3,163,put,1,1,Z,X,,monte_carlo,24,1.0,5.6,1.0,1.0,0.0,7,163,1.0,1.0,0.5,0.0,0.5,"put,x=1,y=1,piece_index=7,direction1=Z,direction2=X",
1,8,G,1,2,109,put,2,0,Z,X,,random,,,,,,,8,109,0.5,0.5,0.0,0.0,0.5,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X",
1,9,F,1,1,49,put,1,2,Y,Z,,monte_carlo,24,1.0,11.5,1.0,1.0,0.0,9,49,1.0,1.0,0.75,0.0,0.25,"put,x=1,y=2,piece_index=5,direction1=Y,direction2=Z",1.0
1,10,F,2,9,547,end_phase,,,,,,monte_carlo,24,1.0,11.2,1.0,1.0,0.0,10,547,1.0,1.0,1.0,0.0,0.0,end_phase,1.0
1,11,G,3,9,624,put,2,1,Y,X,,random,,,,,,,11,624,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=5,direction1=Y,direction2=X",0.0
1,12,F,3,8,490,put,2,0,Y,Z,,monte_carlo,24,1.0,12.5,1.0,1.0,0.0,12,490,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=5,direction1=Y,direction2=Z",
