game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
1,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=7,direction1=Y,direction2=X",
1,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=4,direction1=Y,direction2=Z",
1,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=6,direction1=Y,direction2=Z",
1,4,1,G,397,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=6,direction1=Y,direction2=Z",
1,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=9,direction1=Z,direction2=X",
1,6,1,G,241,1.0,0.75,0.0,0.25,1.0,"put,x=2,y=1,piece_index=3,direction1=X,direction2=Z",
1,7,1,F,163,1.0,1.0,0.5,0.0,0.5,"put,x=1,y=1,piece_index=7,direction1=Z,direction2=X",
1,8,1,G,109,0.5,0.5,0.0,0.0,0.5,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X",
1,9,1,F,49,1.0,1.0,0.75,0.0,0.25,"put,x=1,y=2,piece_index=5,direction1=Y,direction2=Z",1.0
1,10,2,F,547,1.0,1.0,1.0,0.0,0.0,end_phase,1.0
1,11,3,G,624,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=5,direction1=Y,direction2=X",0.0
1,12,3,F,490,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=5,direction1=Y,direction2=Z",
1,13,3,G,420,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=1,direction1=Z,direction2=Y,down_direction=Y",
1,14,3,F,312,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=Y",1.0
1,15,3,G,252,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=Y",
1,16,3,F,170,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=3,direction1=Y,direction2=Z",
1,17,3,G,120,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=X,direction2=Y",
1,18,3,F,56,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=1,direction1=X,direction2=Y",1.0
1,19,3,G,24,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=3,direction1=X,direction2=Y",0.0
2,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=7,direction1=Y,direction2=Z",
2,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=7,direction1=Y,direction2=Z",
2,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=7,direction1=Z,direction2=Y",
2,4,1,G,397,1.0,0.5,0.0,0.5,1.0,"put,x=2,y=2,piece_index=8,direction1=X,direction2=Z",
2,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=3,direction1=X,direction2=Y",0.5
2,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=5,direction1=X,direction2=Z",
2,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=5,direction1=Z,direction2=Y",
2,8,1,G,109,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=7,direction1=Z,direction2=Y",
2,9,1,F,49,1.0,1.0,0.25,0.0,0.75,"put,x=0,y=0,piece_index=1,direction1=Z,direction2=Y",0.5
2,10,2,F,547,1.0,1.0,0.5,0.0,0.5,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=Y",
2,11,2,G,560,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=6,direction1=Y,direction2=X",
2,12,2,F,361,1.0,1.0,0.75,0.0,0.25,"put,x=1,y=1,piece_index=1,direction1=X,direction2=Y",
2,13,2,G,378,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=1,direction1=Z,direction2=X",
2,14,2,F,221,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=4,direction1=Z,direction2=X,down_direction=X",
2,15,2,G,216,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=5,direction1=Z,direction2=Y,down_direction=Y",
2,16,2,F,113,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=2,direction1=Z,direction2=X,down_direction=X",
2,17,2,G,90,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Z,direction2=Y,down_direction=Y",
