rule,game_id,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,phase1_turns,phase1_end_player,phase2_turns,phase2_end_player
by_player,1,1,1,5,5,9,9,draw,2,F,9,G
by_player,2,5,4,11,5,17,6,F,9,G,9,F
by_player,3,4,4,9,12,13,21,G,9,G,9,F
by_player,4,1,3,4,11,10,19,G,2,F,9,G
by_player,5,4,1,7,4,12,9,F,9,G,9,F
by_player,6,1,1,9,4,16,9,F,5,G,9,F
by_player,7,4,3,11,7,19,14,F,9,G,4,F
by_player,8,3,2,8,6,12,10,F,4,F,9,G
by_player,9,6,4,14,9,21,16,F,7,G,2,F
by_player,10,3,3,8,6,13,11,F,9,G,8,F
by_player,11,4,3,9,7,13,11,F,9,G,9,F
by_player,12,1,2,2,4,6,9,G,2,F,2,G
by_player,13,4,4,10,10,16,15,F,9,G,9,F
by_player,14,3,3,6,6,10,11,G,9,G,9,F
by_player,15,2,0,5,2,11,9,F,5,G,2,F
by_player,16,2,2,5,5,13,9,F,2,F,2,G
by_player,17,2,1,8,5,14,11,F,3,G,9,F
by_player,18,4,3,8,6,13,8,F,9,G,8,F
by_player,19,2,2,5,3,9,7,F,9,G,9,F
by_player,20,2,2,7,5,11,8,F,9,G,9,F
by_player,21,3,4,7,11,13,19,G,4,F,9,G
by_player,22,5,2,10,5,16,11,F,9,G,9,F
by_player,23,3,2,7,5,13,10,F,9,G,2,F
by_player,24,3,1,7,6,13,12,F,8,F,6,G
by_player,25,4,2,9,6,13,10,F,9,G,9,F
by_player,26,5,3,10,6,17,10,F,7,G,9,F
by_player,27,3,2,6,5,10,8,F,4,F,9,G
by_player,28,4,1,8,7,14,15,G,7,G,9,F
by_player,29,0,0,3,4,9,9,draw,2,F,9,G
by_player,30,6,3,12,7,17,14,F,9,G,9,F
by_player,31,4,4,10,10,15,17,G,9,G,9,F
by_player,32,3,5,6,8,10,14,G,9,G,9,F
by_player,33,3,4,6,11,11,17,G,9,G,4,F
by_player,34,2,1,7,4,12,8,F,9,G,9,F
by_player,35,2,1,6,5,14,14,draw,3,G,4,F
by_player,36,4,1,8,5,11,9,F,6,F,9,G
by_player,37,2,4,4,7,8,9,G,9,G,2,F
by_player,38,4,4,9,10,16,18,G,9,G,9,F
by_player,39,1,2,8,5,14,9,F,3,G,9,F
by_player,40,5,2,9,5,15,9,F,8,F,8,G
by_player,41,2,4,6,8,13,14,G,9,G,9,F
by_player,42,2,1,6,4,14,6,F,6,F,9,G
by_player,43,3,3,7,8,10,15,G,9,G,9,F
by_player,44,4,2,9,5,13,11,F,9,G,9,F
by_player,45,3,1,7,3,11,10,F,8,F,2,G
by_player,46,3,2,8,7,15,14,F,9,G,9,F
by_player,47,0,0,2,2,6,10,G,9,G,6,F
by_player,48,5,3,10,7,15,13,F,9,G,9,F
by_player,49,4,1,8,5,14,13,F,9,G,9,F
by_player,50,5,3,9,6,15,9,F,9,G,9,F
by_player,51,3,1,9,2,14,5,F,3,G,9,F
by_player,52,3,4,8,8,14,13,F,9,G,9,F
by_player,53,4,1,9,5,15,9,F,9,G,9,F
by_player,54,3,5,8,10,13,17,G,9,G,9,F
by_player,55,5,3,11,7,18,12,F,9,G,9,F
by_player,56,1,1,7,2,14,6,F,2,F,9,G
by_player,57,3,3,8,7,12,13,G,7,G,9,F
by_player,58,0,2,4,10,10,16,G,2,F,8,G
by_player,59,2,2,8,7,15,11,F,3,G,9,F
by_player,60,1,3,4,7,7,10,G,9,G,9,F
by_player,61,4,4,8,6,12,9,F,9,G,9,F
by_player,62,6,2,10,5,15,7,F,9,G,9,F
by_player,63,3,2,7,8,11,16,G,9,G,9,F
by_player,64,4,3,10,8,16,15,F,9,G,9,F
by_player,65,2,1,6,4,11,10,F,9,G,4,F
by_player,66,0,2,3,6,8,12,G,9,G,6,F
by_player,67,4,1,10,3,14,9,F,9,G,4,F
by_player,68,1,2,6,7,12,12,draw,4,F,9,G
by_player,69,3,2,8,7,14,12,F,6,F,4,G
by_player,70,5,2,10,4,15,8,F,8,F,8,G
by_player,71,5,3,13,6,19,10,F,5,G,9,F
by_player,72,2,1,7,4,15,8,F,2,F,9,G
by_player,73,5,2,8,5,11,12,G,9,G,6,F
by_player,74,1,2,5,4,9,10,G,2,F,9,G
by_player,75,2,2,5,3,10,4,F,3,G,9,F
by_player,76,2,1,6,3,10,6,F,5,G,9,F
by_player,77,2,4,4,9,8,16,G,9,G,8,F
by_player,78,2,2,5,4,9,9,draw,9,G,2,F
by_player,79,2,2,7,6,15,11,F,3,G,6,F
by_player,80,5,4,9,8,13,13,draw,9,G,9,F
by_player,81,4,3,10,7,17,11,F,9,G,8,F
by_player,82,4,2,11,4,19,9,F,9,G,9,F
by_player,83,3,2,8,7,16,12,F,8,F,9,G
by_player,84,3,2,9,5,18,11,F,9,G,9,F
by_player,85,1,3,3,6,9,13,G,3,G,2,F
by_player,86,4,3,8,7,12,12,draw,9,G,6,F
by_player,87,3,2,10,6,19,13,F,9,G,9,F
by_player,88,4,1,10,5,13,9,F,3,G,8,F
by_player,89,2,1,7,5,11,10,F,2,F,6,G
by_player,90,5,5,10,9,14,15,G,9,G,9,F
by_player,91,2,1,3,2,8,5,F,3,G,2,F
by_player,92,3,1,7,6,12,10,F,5,G,9,F
by_player,93,1,2,3,5,9,9,draw,4,F,6,G
by_player,94,2,2,6,6,12,12,draw,6,F,9,G
by_player,95,1,2,6,5,13,9,F,2,F,9,G
by_player,96,1,2,5,6,6,10,G,5,G,9,F
by_player,97,2,1,8,3,13,5,F,5,G,9,F
by_player,98,2,4,6,9,8,12,G,9,G,9,F
by_player,99,1,3,4,6,9,11,G,5,G,9,F
by_player,100,4,1,11,4,19,7,F,7,G,6,F
by_player,101,2,2,9,6,16,9,F,3,G,6,F
by_player,102,3,4,7,7,11,11,draw,9,G,8,F
by_player,103,5,2,10,7,16,11,F,8,F,9,G
by_player,104,3,5,7,12,13,20,G,6,F,9,G
by_player,105,4,2,10,6,18,10,F,8,F,9,G
by_player,106,3,3,8,7,14,12,F,5,G,9,F
by_player,107,4,1,9,5,15,11,F,3,G,4,F
by_player,108,2,2,6,9,11,16,G,8,F,9,G
by_player,109,3,3,6,5,11,7,F,5,G,9,F
by_player,110,3,2,8,8,14,13,F,6,F,9,G
by_player,111,3,1,6,4,8,9,G,9,G,9,F
by_player,112,3,2,8,5,16,8,F,9,G,6,F
by_player,113,2,2,4,4,8,9,G,9,G,8,F
by_player,114,2,2,4,7,8,11,G,7,G,9,F
by_player,115,3,3,9,10,16,16,draw,9,G,9,F
by_player,116,5,2,10,7,14,13,F,9,G,9,F
by_player,117,2,3,6,7,10,11,G,9,G,9,F
by_player,118,1,2,7,5,15,10,F,2,F,6,G
by_player,119,5,3,11,7,16,15,F,7,G,4,F
by_player,120,1,3,2,9,4,16,G,9,G,9,F
by_player,121,4,5,7,10,11,15,G,9,G,9,F
by_player,122,2,1,8,4,13,6,F,3,G,9,F
by_player,123,2,1,7,5,13,11,F,9,G,9,F
by_player,124,3,4,7,11,12,17,G,9,G,9,F
by_player,125,2,2,6,8,9,13,G,9,G,9,F
by_player,126,2,1,4,3,8,10,G,5,G,6,F
by_player,127,1,2,4,6,9,10,G,4,F,9,G
by_player,128,2,1,8,7,14,13,F,3,G,9,F
by_player,129,3,2,6,5,13,10,F,9,G,6,F
by_player,130,1,1,3,3,7,8,G,9,G,4,F
by_player,131,3,2,10,7,18,12,F,6,F,9,G
by_player,132,3,2,8,7,14,14,draw,4,F,9,G
by_player,133,4,2,9,9,12,16,G,5,G,9,F
by_player,134,0,2,2,5,6,8,G,6,F,9,G
by_player,135,1,1,3,4,8,9,G,4,F,2,G
by_player,136,3,2,8,4,14,7,F,9,G,4,F
by_player,137,3,1,7,5,14,10,F,9,G,8,F
by_player,138,2,3,4,7,5,10,G,9,G,9,F
by_player,139,1,1,3,1,8,2,F,2,F,2,G
by_player,140,4,2,12,6,19,13,F,9,G,6,F
by_player,141,2,1,8,8,14,13,F,4,F,9,G
by_player,142,2,1,7,5,14,10,F,9,G,9,F
by_player,143,2,3,5,8,11,15,G,6,F,2,G
by_player,144,2,1,6,4,11,6,F,2,F,8,G
by_player,145,1,2,6,5,12,9,F,4,F,9,G
by_player,146,4,3,8,7,14,13,F,9,G,9,F
by_player,147,0,0,1,2,5,8,G,4,F,9,G
by_player,148,4,2,9,5,15,10,F,8,F,9,G
by_player,149,1,1,3,2,6,7,G,2,F,9,G
by_player,150,3,1,8,3,13,4,F,6,F,8,G
by_player,151,2,3,6,9,11,16,G,6,F,9,G
by_player,152,2,0,7,3,14,6,F,3,G,9,F
by_player,153,2,2,6,5,10,9,F,9,G,9,F
