game_id,phase_end_rule,F_ai,G_ai,score_F_phase1,score_G_phase1,score_F_phase2,score_G_phase2,score_F,score_G,winner,turns,phase1_turns,phase1_end_player,phase1_end_reason,phase1_empty_cells_at_end,phase2_turns,phase2_end_player,phase2_end_reason,phase2_empty_cells_at_end
1,by_player,random,monte_carlo,3,3,6,11,6,20,G,29,9,G,board_full,0,9,F,board_full,0
2,by_player,random,monte_carlo,2,3,4,9,7,17,G,29,9,G,board_full,0,9,F,board_full,0
3,by_player,random,monte_carlo,2,4,6,11,6,21,G,27,5,G,by_player,4,9,F,board_full,0
4,by_player,random,monte_carlo,1,3,3,8,6,17,G,25,3,G,by_player,6,9,F,board_full,0
5,by_player,random,monte_carlo,3,3,7,9,11,18,G,27,9,G,board_full,0,6,F,by_player,3
6,by_player,random,monte_carlo,3,6,8,13,10,22,G,29,9,G,board_full,0,9,F,board_full,0
7,by_player,random,monte_carlo,4,4,8,12,10,20,G,29,9,G,board_full,0,9,F,board_full,0
8,by_player,random,monte_carlo,2,6,5,16,6,25,G,29,9,G,board_full,0,9,F,board_full,0
9,by_player,random,monte_carlo,2,5,2,11,4,21,G,29,9,G,board_full,0,9,F,board_full,0
10,by_player,random,monte_carlo,3,5,7,13,9,22,G,29,9,G,board_full,0,9,F,board_full,0
11,by_player,random,monte_carlo,2,3,5,9,6,17,G,29,9,G,board_full,0,9,F,board_full,0
12,by_player,random,monte_carlo,3,6,6,10,8,17,G,29,9,G,board_full,0,9,F,board_full,0
13,by_player,random,monte_carlo,0,3,2,9,5,18,G,29,7,G,by_player,2,9,F,board_full,0
14,by_player,random,monte_carlo,2,2,5,9,7,20,G,29,9,G,board_full,0,9,F,board_full,0
15,by_player,random,monte_carlo,4,6,8,13,11,23,G,29,9,G,board_full,0,9,F,board_full,0
16,by_player,random,monte_carlo,2,6,5,12,9,20,G,29,9,G,board_full,0,9,F,board_full,0
17,by_player,random,monte_carlo,2,5,5,11,7,19,G,29,9,G,board_full,0,9,F,board_full,0
18,by_player,random,monte_carlo,3,5,4,12,4,20,G,29,9,G,board_full,0,9,F,board_full,0
19,by_player,random,monte_carlo,3,5,7,14,9,23,G,29,9,G,board_full,0,9,F,board_full,0
20,by_player,random,monte_carlo,3,5,5,13,6,21,G,29,9,G,board_full,0,9,F,board_full,0
21,by_player,random,monte_carlo,0,3,3,7,4,13,G,29,9,G,board_full,0,9,F,board_full,0
22,by_player,random,monte_carlo,5,4,9,9,10,16,G,29,9,G,board_full,0,9,F,board_full,0
23,by_player,random,monte_carlo,1,3,5,11,7,21,G,29,9,G,board_full,0,9,F,board_full,0
24,by_player,random,monte_carlo,2,4,4,9,6,14,G,27,9,G,board_full,0,8,F,by_player,1
25,by_player,random,monte_carlo,2,3,5,11,8,20,G,25,3,G,by_player,6,9,F,board_full,0
26,by_player,random,monte_carlo,5,5,7,10,10,18,G,29,9,G,board_full,0,9,F,board_full,0
27,by_player,random,monte_carlo,2,3,6,12,8,24,G,29,9,G,board_full,0,9,F,board_full,0
28,by_player,random,monte_carlo,1,3,3,8,5,18,G,25,3,G,by_player,6,9,F,board_full,0
29,by_player,random,monte_carlo,3,4,6,10,9,17,G,27,9,G,board_full,0,8,F,by_player,1
30,by_player,random,monte_carlo,2,4,5,10,8,18,G,29,9,G,board_full,0,9,F,board_full,0
